6.00,Kati,Rulapaugh,3020,2
 6.00,Blondell,Pugh,6799,1
 6.00,Stephen,Emigh,2154,1
 6.10,Tyra,Shields,2123,2
 6.10,Youlanda,Schemmer,1010,1
 6.20,Dyan,Oldroyd,2244,4
 6.21,Tammara,Wardrip,3244,4
 6.30,Cory,Gibes,1000,1
 6.30,Roxane,Campain,2248,4
 6.40,Lavera,Perin,3269,4
 6.48,Danica,Bruschke,1002,2
 6.50,Erick,Ferencz,2414,4
 6.52,Wilda,Giguere,1001,1
 6.60,Fatima,Saylors,3155,1
 6.61,Elvera,Benimadho,1003,2
 6.70,Jina,Briddick,1651,1
 6.70,Carma,Vanheusen,1005,4
 6.76,Abel,Maclead,2222/17,1
 6.80,Simona,Morasca,3445/18,2
 6.80,Kanisha,Waycott,6513,1
 6.80,Karl,Klonowski,1477,2
 6.81,Malinda,Hochard,1006,2
 6.90,Emerson,Bowley,3213,1
 6.90,Natalie,Fern,1100,2
 7.00,Amber,Monarrez,6321/18,4
 7.12,Blair,Malet,3210,1
 7.20,Tonette,Wenner,4789,3
 7.20,Josephine,Darakjy,3256/16,2
 7.20,Brock,Bolognia,3216,1
 7.20,Mitsue,Tollner,5548/17,3
 7.21,Leota,Dilliard,3321/16,4
 7.22,Maurine,Yglesias,4875,1
 7.29,James,Brokes,1254/18,1
 7.35,Cammy,Albares,5555/17,3
 7.36,Jamal,Vanausdal,5478/17,1
 7.49,Cecily,Hollack,8779,1
 7.50,Meaghan,Garufi,3333/18,1
 7.51,Tawna,Buvens,2143,1
 7.70,Graciela,Ruta,4444/16,2
 7.72,Mattie,Poquette,6657/17,2
 7.78,Lisha,Centini,1111,3
 7.80,Gladys,Rim,7547/18,4
 7.84,Carmelina,Lindall,3332,1
 7.88,Penney,Weight,2111/15,1
 7.90,Kiley,Caldarera,1111/18,4
 7.90,Yuki,Whobrey,2201/18,2
 8.00,Moon,Parlato,7878,3
 8.10,Vallie,Mondella,3226,2
 8.11,Bette,Nicka,5784/18,4
 8.14,Fletcher,Flosi,2541/18,3
 8.16,Chanel,Caudy,6378/16,3
 8.20,Kallie,Blackwood,2489,2
 8.30,Veronika,Inouye,6325/17,4
 8.30,Johnetta,Abdallah,9871,2
 8.33,Willard,Kolmetz,9857/18,2
 8.37,Sage,Wieser,5245/17,1
 8.37,Ilene,Eroman,2543/16,2
 8.40,Bobbye,Rhym,2546,1
 8.41,Maryann,Royster,3254/18,3
 8.50,Micaela,Rhymes,2654,3
 8.50,Alisha,Slusarski,4589/17,3
 8.60,Tamar,Hoogland,7751/17,3
 8.60,Allene,Iturbide,3215/17,2
 8.70,Ezekiel,Chui,1002/16,2
 8.70,Laurel,Reitler,5545,3
 8.80,Delisa,Crupi,5565,3
 8.80,Willow,Kusko,1021/17,1
 8.88,Shenika,Seewald,1593,2
 8.90,Bernardo,Figeroa,2005/18,4
 8.90,Lorrie,Nestle,5498,1
 8.90,Viva,Toelkes,2321,1
 8.90,Art,Venere,8754/16,3
 9.00,Marjory,Mastella,2163,2
 9.00,Ammie,Corrio,2006/18,2
 9.00,Donette,Foller,2554/17,1
 9.00,Elza,Lipke,2244,4
 9.00,Delmy,Ahle,3574,4
 9.10,Francine,Vocelka,2087/16,3
 9.10,Devorah,Chickering,3221,4
 9.20,Sabra,Uyetake,6513/17,4
 9.20,Ernie,Stenseth,3026/16,2
 9.20,Lenna,Paprocki,6588/17,4
 9.27,Timothy,Mulqueen,2225,4
 9.30,Albina,Glick,9087,1
 9.30,Arlette,Honeywell,2888,4
 9.40,Alishia,Sergi,2092,2
 9.45,Dominque,Dickerson,9111,1
 9.49,Kris,Marrier,9987/16,2
 9.50,Lettie,Isenhower,3222,2
 9.50,Solange,Shinko,3021,1
 9.60,Myra,Munns,5666,1
 9.60,Jose,Stockham,3524,4
 9.70,Rozella,Ostrosky,5487,2
 9.74,Stephaine,Barfield,8777,3
 9.90,Lai,Gato,5454,2
 9.90,Valentine,Gillian,3256,3
10.00,Jony,Samig,1524,4
10.00,Elly,Morocco,2111,2
10.00,Minna,Amigon,3333/15,3
10.00,Deeanna,Juhas,8246,1
